Customer ID,Age,Gender,Item Purchased,Category,Purchase Amount (USD),Season,Review Rating,Subscription Status,Discount Applied,Promo Code Used,Previous Purchases,Frequency of Purchases
1,55,Male,Blouse,Clothing,53,Winter,3.1,Yes,Yes,Yes,14,Fortnightly
2,19,Male,Sweater,Clothing,64,Winter,3.1,Yes,Yes,Yes,2,Fortnightly
3,50,Male,Jeans,Clothing,73,Spring,3.1,Yes,Yes,Yes,23,Weekly
4,21,Male,Sandals,Footwear,90,Spring,3.5,Yes,Yes,Yes,49,Weekly
5,45,Male,Blouse,Clothing,49,Spring,2.7,Yes,Yes,Yes,31,Annually
6,46,Male,Sneakers,Footwear,20,Summer,2.9,Yes,Yes,Yes,14,Weekly
7,63,Male,Shirt,Clothing,85,Fall,3.2,Yes,Yes,Yes,49,Quarterly
8,27,Male,Shorts,Clothing,34,Winter,3.2,Yes,Yes,Yes,19,Weekly
9,26,Male,Coat,Outerwear,97,Summer,2.6,Yes,Yes,Yes,8,Annually
10,57,Male,Handbag,Accessories,31,Spring,4.8,Yes,Yes,Yes,4,Quarterly
11,53,Male,Shoes,Footwear,34,Fall,4.1,Yes,Yes,Yes,26,Bi-Weekly
12,30,Male,Shorts,Clothing,68,Winter,4.9,Yes,Yes,Yes,10,Fortnightly
13,61,Male,Coat,Outerwear,72,Winter,4.5,Yes,Yes,Yes,37,Fortnightly
14,65,Male,Dress,Clothing,51,Spring,4.7,Yes,Yes,Yes,31,Weekly
15,64,Male,Coat,Outerwear,53,Winter,4.7,Yes,Yes,Yes,34,Weekly
16,64,Male,Skirt,Clothing,81,Winter,2.8,Yes,Yes,Yes,8,Monthly
17,25,Male,Sunglasses,Accessories,36,Spring,4.1,Yes,Yes,Yes,44,Bi-Weekly
18,53,Male,Dress,Clothing,38,Winter,4.7,Yes,Yes,Yes,36,Quarterly
19,52,Male,Sweater,Clothing,48,Summer,4.6,Yes,Yes,Yes,17,Weekly
20,66,Male,Pants,Clothing,90,Summer,3.3,Yes,Yes,Yes,46,Bi-Weekly
21,21,Male,Pants,Clothing,51,Winter,2.8,Yes,Yes,Yes,50,Every 3 Months
22,31,Male,Pants,Clothing,62,Winter,4.1,Yes,Yes,Yes,22,Quarterly
23,56,Male,Pants,Clothing,37,Summer,3.2,Yes,Yes,Yes,32,Annually
24,31,Male,Pants,Clothing,88,Winter,4.4,Yes,Yes,Yes,40,Weekly
25,18,Male,Jacket,Outerwear,22,Fall,2.9,Yes,Yes,Yes,16,Weekly
26,18,Male,Hoodie,Clothing,25,Summer,3.6,Yes,Yes,Yes,14,Annually
27,38,Male,Jewelry,Accessories,20,Spring,3.6,Yes,Yes,Yes,13,Annually
